,country,eastwest,eumember,year,expert,party_id,family,cmp_id,party,vote,seat,electionyear,epvote,govt,eu_position,eu_salience,eu_dissent,eu_blur,eu_benefit,eu_ep,eu_fiscal,eu_intmark,eu_employ,eu_budgets,eu_agri,eu_cohesion,eu_environ,eu_asylum,eu_foreign,eu_turkey,lrgen,lrecon,lrecon_salience,lrecon_dissent,lrecon_blur,galtan,galtan_salience,galtan_dissent,galtan_blur,spendvtax,spendvtax_salience,deregulation,dereg_salience,redistribution,redist_salience,econ_interven,civlib_laworder,civlib_salience,sociallifestyle,social_salience,religious_principles,relig_salience,immigrate_policy,immigrate_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,urban_rural,urban_salience,environment,enviro_salience,cosmo,cosmo_salience,protectionism,regions,region_salience,international_security,international_salience,us,us_salience,ethnic_minorities,ethnic_salience,nationalism,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,mip_one,mip_two,mip_three,chesversion
572,BE,1,1,2006,7,102,SocDem,21322.0,PS,13.0,16.700001,2003,13.5,1.0,5.71,4.2999997,3.4300001,,,6.5,,4.0,,,,6.67,,,5.83,6.0,3.5,3.17,,,,2.83,,,,2.67000007629395,6.5,2.32999992370606,6.82999992370606,2.0,8.0,,3.67000007629395,6.5,2.32999992370606,5.67000007629395,1.33000004291534,5.67000007629395,2.5,6.32999992370606,,4.1999998,,,4.40000009536743,3.0,,,3.1700001,4.3299999,,6.1700001,7.0,,,2.6700001,3.5,3.17000007629395,6.32999992370606,,,,,,,,,,,2020.1
573,BE,1,1,2006,10,103,SocDem,21321.0,SPA,14.9,15.3,2003,11.0,1.0,5.6,5.0,3.5599999,,,6.33,,3.89,,,,5.86,,,5.5,5.44,3.22,2.63,,,,2.63,,,,1.87999999523163,7.0,2.22000002861023,8.0,1.87999999523163,8.25,,4.0,5.13000011444092,1.33000004291534,7.13000011444092,1.62999999523163,3.75,3.75,5.5,,3.3800001,,,3.20000004768372,3.79999995231628,,,2.3800001,4.8800001,,4.8800001,4.5,,,2.71,3.29,3.28999996185303,5.28999996185303,,,,,,,,,,,2020.1
574,BE,1,1,2010,16,103,SocDem,21321.0,SPA,9.24,8.6999998,2010,8.21000003814697,0.0,6.06666660308838,4.4444442,3.0,,1.1333333,6.692307472229,,5.2142858505249,,,,6.40000009536743,,,6.42857122421265,5.61538457870483,3.42857122421265,3.19999980926514,,,,2.93333339691162,,,,2.61538457870483,7.23076915740967,2.88888883590698,4.875,2.45454549789429,7.41666650772095,,3.59999990463257,4.81818199157715,1.81818187236786,5.0,1.63636362552643,2.36363625526428,4.0,5.16666650772095,,4.5,5.5454545,,3.625,2.625,3.9166667,5.5,,,,3.75,6.0833335,6.4545455,3.9000001,,,3.79999995231628,4.5,,,,,,,,,,,2020.1
575,BE,1,1,2010,16,102,SocDem,21322.0,PS,13.7,17.299999,2010,10.8800001144409,1.0,6.19999980926514,4.5238099,2.4615386,,1.1333333,6.54545450210571,,5.08333349227905,,,,6.625,,,6.33333349227905,5.75,2.5,2.57142853736877,,,,2.85714292526245,,,,1.69230771064758,7.61538457870483,2.375,4.5,1.81818187236786,7.58333349227905,,2.63636374473572,4.72727251052856,1.81818187236786,5.09090900421143,1.45454549789429,2.54545450210571,2.0,6.08333349227905,,3.25,5.5454545,,4.0,2.14285707473755,4.9166665,4.8333335,,,,5.5833335,5.0833335,6.090909,3.2222223,,,2.44444441795349,5.33333349227905,,,,,,,,,,,2020.1
576,BE,1,1,2014,6,102,SocDem,21322.0,PS,11.7,15.3,2014,10.7,0.5,6.0,3.2,3.0,,1.2,6.40000009536743,,5.0,,4.1999998,,6.25,,,6.0,5.5,2.59999990463257,2.40000009536743,8.3999996,,,3.40000009536743,3.2,,,2.40000009536743,,2.0,,1.79999995231628,,1.75,2.20000004768372,,1.60000002384186,,1.0,,2.79999995231628,,,2.0,,,3.33333325386047,,3.8,,,,,6.5999999,,5.8000002,,,,2.0,,2.25,,,,2.5999999,2.25,,13.0,14.0,17.0,2020.1
577,BE,1,1,2014,6,103,SocDem,21321.0,SPA,8.8,8.6999998,2014,8.3,0.5,6.0,3.8,3.25,,1.2,6.59999990463257,,5.0,,4.1999998,,6.25,,,6.19999980926514,5.5,3.0,2.79999995231628,8.3999996,,,2.59999990463257,4.25,,,2.79999995231628,,2.59999990463257,,2.0,,2.25,2.40000009536743,,1.39999997615814,,1.0,,3.40000009536743,,,2.4000001,,,2.33333325386047,,3.4000001,,,,,6.0,,5.8000002,,,,2.59999990463257,,2.25,,,,2.5999999,3.0,,13.0,14.0,17.0,2020.1
578,BE,1,1,2019,12,103,SocDem,21321.0,SP/SPA,6.71,6.0999999,2019,6.45,0.0,6.0,4.181818,2.5,1.7142857,,,,4.77777767181397,,4.625,,6.0,,5.44444465637207,5.44444465637207,,3.08333325386047,3.08333325386047,7.9166665,2.2,1.4285715,2.75,4.5833335,2.5,2.7777777,2.66666674613953,,2.20000004768372,,2.0,8.0833330154419,2.0,3.66666674613953,,1.90909087657929,,1.60000002384186,,4.08333349227905,4.5,4.181818,3.3333333,5.0,3.8,3.0,,4.2727275,4.3636365,,,5.7272725,5.3333335,,,,,,2.45454549789429,,3.0833333,0.11111111,2.2222223,3.5454545,2.090909,1.6363636,6.818182,,,,2020.1
579,BE,1,1,2019,12,102,SocDem,21322.0,PS,9.46,13.5,2019,9.74,0.0,6.08333349227905,4.2727275,2.75,2.1666667,,,,4.77777767181397,,4.25,,6.25,,5.55555534362793,5.44444465637207,,2.08333325386047,2.25,8.166667,2.2,1.1428572,2.91666674613953,4.0,2.5,2.75,2.0,,2.0,,1.58333337306976,8.16666698455811,1.5454545,3.09090900421143,,2.0,,1.5,,3.41666674613953,4.25,3.4000001,3.0833333,4.4545455,3.5,3.33333325386047,,4.5,4.3636365,,,6.2727275,6.0,,,,,,2.63636374473572,,3.4545455,0.11111111,2.1111112,3.3636363,2.1818182,1.9090909,7.5,,,,2020.1
580,DK,1,1,1999,7,201,SocDem,13320.0,SD,35.9,35.200001,1998,16.5,1.0,5.14285707473755,4.583333,5.0,,,4.0,3.71428561210632,,6.42857122421265,,,5.14285707473755,6.57142877578735,5.33333349227905,5.14285707473755,,3.85714292526245,3.42857146263123,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
581,DK,1,1,2002,13,201,SocDem,13320.0,SD,29.1,29.1,2001,16.5,0.0,5.77,7.166667,5.0444446,,,4.54,,5.0,6.09,,4.33,5.3,6.25,5.17,5.5,,4.0,3.69,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
582,DK,1,1,2006,9,201,SocDem,13320.0,SD,25.8,26.299999,2005,32.5999984741211,0.0,5.78,4.0666666,3.0,,,4.13,,5.0,,,,5.14,,,5.83,3.88,4.11,3.63,,,,4.13,,,,3.0,6.19999980926514,5.0,4.0,3.20000004768372,7.19999980926514,,6.0,4.80000019073486,3.59999990463257,3.25,2.0,3.75,6.59999990463257,6.5,,6.5999999,,,2.32999992370606,2.75,,,5.25,5.0,,5.5,3.0,,,5.0,4.75,5.75,6.0,,,,,,,,,,,2020.1
583,DK,1,1,2010,11,201,SocDem,13320.0,SD,25.5,25.1,2007,21.4899997711182,0.0,5.90909099578857,4.242424,3.2,,1.0,5.66666650772095,,5.45454549789429,,,,5.25,,,5.59999990463257,4.69999980926514,4.18181800842285,3.81818199157715,,,,5.0,,,,3.0,7.81818199157715,4.5,4.66666650772095,3.18181824684143,6.81818199157715,,5.5,5.40000009536743,3.79999995231628,4.11111116409302,3.125,3.09999990463257,6.36363649368286,5.81818199157715,,6.181818,6.3636365,,3.63636374473572,3.36363625526428,4.3636365,4.818182,,,,5.625,3.375,3.8,5.6999998,,,5.54545450210571,5.90909099578857,,,,,,,,,,,2020.1
584,DK,1,1,2014,11,201,SocDem,13320.0,SD,24.5,24.6,2011,19.1,1.0,6.0,4.4545455,3.7272727,,1.0,5.7142858505249,,5.5,,5.0,,4.80000019073486,,,5.77777767181397,4.2857141494751,4.40000009536743,3.90000009536743,7.3333335,,,5.19999980926514,4.5555553,,,4.09999990463257,,4.125,,3.25,,3.3,5.22222232818604,,2.90000009536743,,2.66666674613953,,5.5,,,5.4000001,,,3.88888883590698,,4.2222223,,,,,5.0,,3.2222223,,,,5.0,,4.8000002,,,,2.8,2.3,,13.0,14.0,17.0,2020.1
585,DK,1,1,2019,14,201,SocDem,13320.0,SD,25.9,27.4,2019,21.5,1.0,5.07142877578735,4.7142859,3.1111112,5.25,,,,5.5,,3.0,,4.22222232818604,,3.08333325386047,3.83333325386047,,4.0,3.71428561210632,7.3571429,2.3333333,3.4444444,5.0,5.5,3.0,4.9000001,3.0,,4.1538462638855,,3.14285707473755,7.57142877578735,3.7692308,7.0,,3.0,,1.88888883590698,,6.85714292526245,6.92857122421265,4.0714288,7.3076925,6.9230771,3.5384614,5.2142858505249,,4.7857141,6.0714288,,,4.2727275,5.3333335,,,,,,6.0,,5.6666665,1.0,5.090909,3.2307692,2.7692308,1.6923077,6.9285712,,,,2020.1
